City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,belmonte,-15.8631,-38.8828,25.4,78,6,3.75,BR,1675821165
203,lagoa,39.05,-27.9833,13.18,56,100,6.4,PT,1675821165
204,saint-pierre,-21.3393,55.4781,24.82,78,0,2.06,RE,1675821165
205,cherskiy,68.75,161.3,-33.78,96,100,2.46,RU,1675821166
206,saskylakh,71.9167,114.0833,-33.91,100,100,0.32,RU,1675821166
207,camopi,3.1655,-52.3158,22.19,99,100,0.96,GF,1675821166
208,maningrida,-12.0667,134.2667,32.07,57,87,3.2,AU,1675821167
209,burnie,-41.0667,145.9167,19.41,70,99,3.84,AU,1675821167
210,nanortalik,60.1432,-45.2371,-15.19,73,10,8.85,GL,1675821167
211,chicama,-7.8447,-79.1469,22.3,75,45,2.54,PE,1675821168
212,ambulu,-8.345,113.6058,25.17,87,100,1.49,ID,1675821168
213,avera,33.194,-82.5271,11.06,57,96,1.67,US,1675821168
214,kuytun,54.3419,101.5036,-19.19,100,100,1.88,RU,1675821169
215,miri,4.4148,114.0089,26.08,83,20,1.54,MY,1675821169
216,madang,-5.2246,145.7966,29.56,68,98,2.85,PG,1675821169
217,quelimane,-17.8786,36.8883,23.51,94,97,1.92,MZ,1675821170
218,bowral,-34.4667,150.4167,17.85,98,100,1.77,AU,1675821170
219,bonanza,14.0289,-84.591,19.95,99,31,0.83,NI,1675821171
220,hun,29.1268,15.9477,10.26,50,99,6.64,LY,1675821171
221,narsaq,60.9167,-46.05,-21.88,63,0,3.6,GL,1675821118
222,palencia,42.4167,-4.5,0.44,85,76,5.81,ES,1675821171
223,marzuq,14.4,46.4667,16.32,55,6,2.11,YE,1675821161
224,kayerkan,69.3497,87.7602,-22.91,98,100,2.42,RU,1675821172
225,ormara,25.2088,64.6357,20.66,67,2,1.85,PK,1675821172
226,biltine,14.5333,20.9167,19.93,23,91,8.18,TD,1675821173
227,kolvereid,64.8655,11.6047,4.57,84,100,6.16,NO,1675821173
228,chute-aux-outardes,49.1168,-68.399,-7.01,79,75,8.75,CA,1675821173
229,ilulissat,69.2167,-51.1,-26.99,76,100,2.57,GL,1675821174
230,rocha,-34.4833,-54.3333,20.15,85,6,3.33,UY,1675821148
231,ariquemes,-9.9133,-63.0408,22.34,97,77,0.23,BR,1675821168
232,puerto del rosario,28.5004,-13.8627,13.86,72,0,3.09,ES,1675821174
233,ngaoundere,7.3167,13.5833,18.41,20,14,2.09,CM,1675821175
234,port elizabeth,-33.918,25.5701,20.61,91,40,2.57,ZA,1675821175
235,hithadhoo,-0.6,73.0833,27.3,72,13,3.58,MV,1675820934
236,khani,41.9563,42.9566,-2.24,97,100,1.22,GE,1675821176
237,northport,33.229,-87.5772,20.9,52,100,3.6,US,1675820934
238,boyolangu,-8.1181,111.8935,24.45,88,100,2.6,ID,1675821176
239,mehamn,71.0357,27.8492,1.97,80,40,11.83,NO,1675821176
240,korla,41.7597,86.1469,-1.54,85,14,0.89,CN,1675821062
241,sur,22.5667,59.5289,22.48,56,27,3.49,OM,1675821177
242,gizo,-8.103,156.8419,29.18,73,100,5.99,SB,1675821177
243,riohacha,11.5444,-72.9072,25.15,74,15,6.31,CO,1675820937
244,kabalo,-6.05,26.9167,19.89,97,100,1.21,CD,1675821178
245,tsumeb,-19.2333,17.7167,19.44,82,100,1.63,NA,1675821178
246,sobolevo,54.4299,31.8996,-15.44,99,64,1.59,RU,1675821178
247,katsuura,35.1333,140.3,11.01,71,98,8.08,JP,1675821179
248,prabumulih,-3.45,104.25,27.3,78,100,1.06,ID,1675820815
249,lumphat,13.4878,106.9816,28.66,56,12,2.09,KH,1675821179
250,karatau,43.1667,70.4667,-0.78,82,100,1.13,KZ,1675821180
251,bengkulu,-3.8004,102.2655,27.31,63,74,2.39,ID,1675821181
252,buala,-8.145,159.5921,27.43,86,85,3.8,SB,1675821181
253,dromolaxia,34.8761,33.586,7.21,75,20,4.63,CY,1675821182
